x, y, th, stamp, 
-0.4436514738244585, -8.767873321546798, 1.232354438178543, 78234000000, 
-0.4413200772329497, -8.761144606415492, 1.2425537358724361, 78268000000, 
-0.43905706426878727, -8.754392721468426, 1.252752298459552, 78302000000, 
-0.4368632905080087, -8.747617871538594, 1.262949393536481, 78336000000, 
-0.43472851316688355, -8.74078862351134, 1.2731475723495065, 78370000000, 
-0.43266334139171403, -8.733938016664059, 1.2833452005222954, 78404000000, 
-0.43065887483691145, -8.727033917302267, 1.2935428918325966, 78438000000, 
-0.4287245688565899, -8.720109913724395, 1.3037406498709776, 78472000000, 
-0.42685240343061026, -8.713133579795599, 1.3139380785591244, 78506000000, 
-0.42505149348353255, -8.706138436969976, 1.3241364731987637, 78540000000, 
-0.42332174095585284, -8.699125473642482, 1.33433421839295, 78574000000, 
-0.42165610484970084, -8.692062003299185, 1.3445323253365933, 78608000000, 
-0.420062416147023, -8.684981981306947, 1.3547310959481096, 78642000000, 
-0.41853399044356393, -8.67785284956376, 1.3649289733148224, 78676000000, 
-0.4170785447806086, -8.670708339945566, 1.3751274989886828, 78710000000, 
-0.41569564970759915, -8.663549575110714, 1.38532573913899, 78744000000, 
-0.4143800570313951, -8.656343503921883, 1.3955236698521267, 78778000000, 
-0.41313782576445707, -8.649124454063873, 1.4057209546079463, 78812000000, 
-0.4119640994894026, -8.641859464850569, 1.4159198310314787, 78846000000, 
-0.4108641411689628, -8.634583022965451, 1.4261184363303758, 78880000000, 
-0.4098386921781043, -8.627295591998816, 1.4363152825551206, 78914000000, 
-0.40888323882886385, -8.619964375391401, 1.4465135342978823, 78948000000, 
-0.4080022778822347, -8.612623916751748, 1.4567116040646935, 78982000000, 
-0.4071928292701167, -8.605240952711569, 1.4669095293492953, 79016000000, 
-0.40645850616456464, -8.597850157605555, 1.4771079161787566, 79050000000, 
-0.40579667240438283, -8.590418423069815, 1.4873057161244907, 79084000000, 
-0.40521088222397555, -8.582980185601164, 1.4975042861640047, 79118000000, 
-0.4047005625301978, -8.575536526398121, 1.5077024760096946, 79152000000, 
-0.4042645666691041, -8.568054022195595, 1.51790043833431, 79186000000, 
-0.4039048249064019, -8.56056742894279, 1.5280991500503445, 79220000000, 
-0.40362130375474087, -8.553077610580537, 1.5382968038959504, 79254000000, 
-0.40341351346146725, -8.5455512447394, 1.5484949272357924, 79288000000, 
-0.4032820911950602, -8.538023225527153, 1.5586932376655103, 79322000000, 
-0.40322749390588564, -8.530460218539451, 1.5688908201052592, 79356000000, 
-0.4032500566011264, -8.522896973520927, 1.5790892730192494, 79390000000, 
-0.4033498691061398, -8.515300525324937, 1.589287127168816, 79424000000, 
-0.40352748375666303, -8.507705342724098, 1.5994851920291597, 79458000000, 
-0.4037823222305166, -8.500112401487291, 1.609683846218838, 79492000000, 
-0.4041161536920094, -8.492488533251692, 1.6198816517584973, 79526000000, 
-0.40452794220761834, -8.484868356827036, 1.6300801907046902, 79560000000, 
-0.4050191364144706, -8.477219004996632, 1.6402784702362652, 79594000000, 
-0.4055887097544155, -8.469574935285367, 1.6504760776214085, 79628000000, 
